Clade,Model,lamda,AICc
Brassicales,bcst.d0,0.240890625,11291.74938
Brassicales,bvar.d0,0.406787311,10619.54494
Brassicales,bvar.l.d0,0.307716066,10826.69077
Celastrales,bcst.d0,0.193570313,1994.312678
Celastrales,bvar.d0,0.355236147,1833.135253
Celastrales,bvar.l.d0,0.260450538,1879.94677
Crossosomatales,bcst.d0,0.059730469,201.5108856
Crossosomatales,bvar.d0,0.138921091,190.7729024
Crossosomatales,bvar.l.d0,0.091429531,194.6991091
Cucurbitales,bcst.d0,0.211078125,5598.711074
Cucurbitales,bvar.d0,0.326185141,5306.394241
Cucurbitales,bvar.l.d0,0.257916439,5389.768107
Fabales,bcst.d0,0.25115625,36411.25541
Fabales,bvar.d0,0.477139656,33185.9076
Fabales,bvar.l.d0,0.354910485,34136.73778
Fagales,bcst.d0,0.3133125,3348.958923
Fagales,bvar.d0,0.730418026,2647.457662
Fagales,bvar.l.d0,0.453673,2903.710068
Geraniales,bcst.d0,0.214945313,2002.094473
Geraniales,bvar.d0,0.44177274,1750.08633
Geraniales,bvar.l.d0,0.283076707,1857.225116
Huerteales,bcst.d0,0.036351563,52.48162605
Huerteales,bvar.d0,0.019312752,55.92747189
Huerteales,bvar.l.d0,0.048837805,54.37039481
Malpighiales,bcst.d0,0.191320313,27825.94043
Malpighiales,bvar.d0,0.359815031,25624.21466
Malpighiales,bvar.l.d0,0.267775823,26345.65773
Malvales,bcst.d0,0.248273438,9076.175071
Malvales,bvar.d0,0.466742081,8264.44055
Malvales,bvar.l.d0,0.324938684,8589.061717
Myrtales,bcst.d0,0.273023438,10113.47792
Myrtales,bvar.d0,0.583945299,8834.005709
Myrtales,bvar.l.d0,0.381456918,9307.221013
Oxalidales,bcst.d0,0.163089844,1590.753979
Oxalidales,bvar.d0,0.330807162,1422.677577
Oxalidales,bvar.l.d0,0.233402865,1472.435043
Picramniales,bcst.d0,0.0765,33.33897961
Picramniales,bvar.d0,0.222466442,37.91606069
Picramniales,bvar.l.d0,0.150115075,38.21319901
Rosales,bcst.d0,0.286734375,12609.0191
Rosales,bvar.d0,0.701917441,10588.9277
Rosales,bvar.l.d0,0.40937511,11492.30279
Sapindales,bcst.d0,0.207492188,9430.420433
Sapindales,bvar.d0,0.336205202,8909.31955
Sapindales,bvar.l.d0,0.282913295,9017.177046
Zygophyllales,bcst.d0,0.075550781,608.9782221
Zygophyllales,bvar.d0,0.129951272,589.7110143
Zygophyllales,bvar.l.d0,0.100053491,595.9946305
Vitales,bcst.d0,0.150257813,985.5402432
Vitales,bvar.d0,0.339663826,892.6859633
Vitales,bvar.l.d0,0.219940376,928.0631318
